employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
St. Anthony Hospital,MRI Tech,Lakewood,Colorado,36.5,61.47,Full-time,https://www.indeed.com/viewjob?jk=681854c91a2f4309&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
i4 Search Group,MRI Tech – Magnetic Resonance Imaging Technologist – Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/1561808-mri-tech-magnetic-resonance-imaging-technologist-competitive-comp-great-benefits-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
UCHealth,MRI Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-lakewood-colorado-70408945?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health Mountain Region,MRI Tech,Lakewood,Colorado,,,Full-time,https://external-mountain-commonspirit.icims.com/jobs/85652/2025-85652/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
i4 Search Group,Lead MRI Tech – Magnetic Resonance Imaging Technologist – Weekdays Only/Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/2973587-lead-mri-tech-magnetic-resonance-imaging-technologist-weekdays-only-competitive-comp-great-benefits-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
i4 Search Group,MRI Tech - Magnetic Resonance Imaging Technologist - Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://jooble.org/jdp/-6402033356882682233?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
St. Anthony Hospital,MRI Tech,Lakewood,Colorado,36.5,61.47,Full-time,https://www.indeed.com/viewjob?jk=681854c91a2f4309&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
i4 Search Group,MRI Tech – Magnetic Resonance Imaging Technologist – Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/1561808-mri-tech-magnetic-resonance-imaging-technologist-competitive-comp-great-benefits-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
CommonSpirit Health Mountain Region,MRI Tech,Lakewood,Colorado,,,Full-time,https://external-mountain-commonspirit.icims.com/jobs/85652/2025-85652/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,MRI Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-lakewood-colorado-70408945?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
i4 Search Group,Lead MRI Tech – Magnetic Resonance Imaging Technologist – Weekdays Only/Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/2973587-lead-mri-tech-magnetic-resonance-imaging-technologist-weekdays-only-competitive-comp-great-benefits-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
i4 Search Group,MRI Tech – Magnetic Resonance Imaging Technologist – Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/1561808-mri-tech-magnetic-resonance-imaging-technologist-competitive-comp-great-benefits-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-10T00:00:00.000Z
St. Anthony Hospital,MRI Tech,Lakewood,Colorado,36.5,61.47,Full-time,https://www.indeed.com/viewjob?jk=681854c91a2f4309&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,MRI Technologist,Lakewood,Colorado,,,Full-time,https://jobs.aarp.org/job/mri-technologist-lakewood-colorado-70408945?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
CommonSpirit Health Mountain Region,MRI Tech,Lakewood,Colorado,,,Full-time,https://external-mountain-commonspirit.icims.com/jobs/85652/2025-85652/job?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
i4 Search Group,Lead MRI Tech – Magnetic Resonance Imaging Technologist – Weekdays Only/Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://i4searchgroup.com/job/2973587-lead-mri-tech-magnetic-resonance-imaging-technologist-weekdays-only-competitive-comp-great-benefits-lakewood-co/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-04T00:00:00.000Z
i4 Search Group,MRI Tech - Magnetic Resonance Imaging Technologist - Competitive Comp & Great Benefits,Lakewood,Colorado,,,Full-time,https://jooble.org/jdp/-6402033356882682233?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
