employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
SOUTHWEST MEDICAL IMAGING,CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=27a41dd7c0b4b798&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Banner Health,CT Technologists East Valley Outpatient  Imaging Clinics,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologists-east-valley-outpatient-imaging-clinics-at-banner-health-4142565301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
HonorHealth,CAT Scan Tech,Scottsdale,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/72838?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/computed-tomography-technologist-scottsdale-arizona/1569193437-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-08T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING.,CT TECHNOLOGIST.,Scottsdale,Arizona,,,Full-time,https://www.monster.com/job-openings/ct-technologist-scottsdale-az--be3a5089-f46f-4138-bb93-c6f2df32fc31?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Arizona Center for Cancer Care,PET/CT Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=5a46d84531ead053&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-15T00:00:00.000Z
Mayo Clinic,CT Technologist - Part Time Weekends,Scottsdale,Arizona,38.4,51.11,Part-time,"https://www.ziprecruiter.com/c/Mayo-Clinic/Job/CT-Technologist-Part-Time-Weekends/-in-Scottsdale,AZ?jid=2de9014bbf244d67&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2025-01-14T00:00:00.000Z
SimonMed Imaging,CT Technologist - Now Hiring,Scottsdale,Arizona,24.54,34.6,Full-time,https://www.snagajob.com/jobs/1052176189?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-20T00:00:00.000Z
SimonMed Imaging,Radiologic Technologist - CT,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/7d08eea516361d4667cd2a3059dec975?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-09T17:00:00.000Z
SimonMed Imaging,Computed Tomography Technologist,Scottsdale,Arizona,,,Full-time,https://salutemyjob.com/jobs/computed-tomography-technologist-scottsdale-arizona/1568042274-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-07T00:00:00.000Z
HonorHealth,CAT Scan Tech,Scottsdale,Arizona,,,Full-time,https://jobs.honorhealth.com/jobs/72838?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-27T00:00:00.000Z
Banner Health,CT Technologists East Valley Outpatient  Imaging Clinics,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/ct-technologists-east-valley-outpatient-imaging-clinics-at-banner-health-4142565301?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING,CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=27a41dd7c0b4b798&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
