employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=55f203db5e6578e4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
Simonmed Imgaging,Magnetic Resonance Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/f428126d3117d3f747a489a29df0a36f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T10:00:00.000Z
Siemens Healthineers AG,Travel MRI Technologist,Scottsdale,Arizona,2800,2900,Full-time,"https://www.ziprecruiter.com/c/Siemens-Healthineers-AG/Job/Travel-MRI-Technologist/-in-Scottsdale,AZ?jid=d546bc4c92e19690&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Simonmed Imgaging,Magnetic Resonance Imaging Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/magnetic-resonance-imaging-technologist-scottsdale-arizona/1562984451-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING,MR & CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=f8dc02bd0958de14&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Abrazo Scottsdale Campus,MRI Tech PRN Rotating,Phoenix,Arizona,,,,https://jobs.tenethealth.com/job/phoenix/mri-tech-prn-rotating/1127/76573897424?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
IYA Medical PLC,MRI TECHNICIAN - PRESCOTT ARIZONA,Scottsdale,Arizona,30,50,Full-time,https://www.indeed.com/viewjob?jk=67fcf7af8722ca8b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Simonmed Imgaging,Diagnostic Imaging Technician,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/518eb3c74c39c1d63d3a1f4791b6def4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T06:00:00.000Z
RadNet,Imaging Technologist Role,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/2863fbdb0965e630e4f44b808a760071?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
SOUTHWEST MEDICAL IMAGING,RADIOLOGY TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=0b97497232d047e9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SimonMed Imaging,MRI Technologist,Scottsdale,Arizona,,,Full-time,https://www.linkedin.com/jobs/view/mri-technologist-at-simonmed-imaging-4131383751?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-22T00:00:00.000Z
Simonmed Imgaging,Magnetic Resonance Technologist,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/f428126d3117d3f747a489a29df0a36f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T10:00:00.000Z
Simonmed Imgaging,Magnetic Resonance Imaging Technologist. Job in Scottsdale LilyLifestyle Jobs,Scottsdale,Arizona,,,Full-time,https://jobs.lilylifestyle.co.uk/jobs/magnetic-resonance-imaging-technologist-scottsdale-arizona/1562984451-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
"SimonMed Imaging MSO, LLC",MRI Training Manager,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=133fb833f545b116&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
SOUTHWEST MEDICAL IMAGING,MR & CT TECHNOLOGIST,Scottsdale,Arizona,,,Full-time,https://www.indeed.com/viewjob?jk=f8dc02bd0958de14&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Abrazo Scottsdale Campus,MRI Tech PRN Rotating,Phoenix,Arizona,,,,https://jobs.tenethealth.com/job/phoenix/mri-tech-prn-rotating/1127/76573897424?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Laser Spine Institute (LSI),MRI Radiographer,Scottsdale,Arizona,,,Full-time,https://jobs.appcast.io/laser-spine-institute-lsi/mri-radiographer/2181627956?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Simonmed Imgaging,Diagnostic Imaging Technician,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/518eb3c74c39c1d63d3a1f4791b6def4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T06:00:00.000Z
Simonmed Imgaging,Medical Imaging Technician,Scottsdale,Arizona,,,Full-time,https://us.bebee.com/job/7a6b8f649013853f65296220f653a874?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Simonmed Imgaging,Magnetic Resonance Technologist,Surprise,Arizona,,,Full-time,https://us.bebee.com/job/223f550b5e3cd04185b10db02df77a57?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T07:00:00.000Z
