employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-08T00:00:00.000Z
UCHealth (Colorado),Staff MRI Technologist,Aurora,Colorado,38,58,Full-time,https://www.jobserve.com/us/en/extjob/STAFF-MRI-TECHNOLOGIST-in-Aurora-Colorado-USA-E656447E232053E3B1/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Vivian Health,MRI Technologist - Paying up to $39-58/hour,Aurora,Colorado,39,58,Full-time,https://www.jobserve.com/us/en/extjob/MRI-TECHNOLOGIST-PAYING-UP-TO-39-58-HOUR-in-Aurora-Colorado-USA-2C403F8D65587CEE17/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-08T00:00:00.000Z
Vivian Health,MRI Technologist - Paying up to $39-58/hour,Aurora,Colorado,39,58,Full-time,https://www.jobserve.com/us/en/extjob/MRI-TECHNOLOGIST-PAYING-UP-TO-39-58-HOUR-in-Aurora-Colorado-USA-2C403F8D65587CEE17/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
UCHealth (Colorado),Staff MRI Technologist,Aurora,Colorado,38,58,Full-time,https://www.jobserve.com/us/en/extjob/STAFF-MRI-TECHNOLOGIST-in-Aurora-Colorado-USA-E656447E232053E3B1/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-08T00:00:00.000Z
UCHealth (Colorado),Staff MRI Technologist,Aurora,Colorado,38,58,Full-time,https://www.jobserve.com/us/en/extjob/STAFF-MRI-TECHNOLOGIST-in-Aurora-Colorado-USA-E656447E232053E3B1/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
UCHealth,Advanced MRI Professional,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/6072ed418336ffa2890b2407d7fd6c26?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T06:00:00.000Z
Invision Sally Jobe,Float MRI / CT Technologist,Aurora,Colorado,37,52,Full-time,"https://www.ziprecruiter.com/c/Invision-Sally-Jobe/Job/Float-MRI-CT-Technologist/-in-Aurora,CO?jid=0682e0608653304c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Healthcare Support Permanent Placement,MRI Scanner Specialist,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/21b0b1dbacb2eb0efff5315dbbeea727?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
UCHealth (Colorado),Imaging Professional - MRI Technologist,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/44f220772156f6c40ab6394b818527ef?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-03T00:00:00.000Z
