employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Kaiser Permanente,MRI Technologist,Denver,Colorado,,,Full-time,https://www.kaiserpermanentejobs.org/job/denver/mri-technologist/641/76780251072?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
CommonSpirit Health,MRI Tech Lead,Denver,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/mri-tech-lead-at-commonspirit-health-4144645695?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Touchstone Medical Imaging,Float MRI Technologist,Denver,Colorado,45,50,Full-time,https://www.indeed.com/viewjob?jk=0de261b7eee537fa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Touchstone Medical Imaging,MRI Technologist.,Denver,Colorado,,,Full-time,https://www.monster.com/job-openings/mri-technologist-denver-co--6727f6ec-c9c5-423e-8df5-2186c389fa3e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,MRI Technologist Lead,Denver,Colorado,41.43,62.15,Full-time,https://www.indeed.com/viewjob?jk=9baa92500222ca33&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
i4 Search Group,MRI Tech - Magnetic Resonance Imaging Technologist - Competitive Comp & Great Benefits,Denver,Colorado,34.59,53.55,Full-time,"https://www.ziprecruiter.com/c/i4-Search-Group-Healthcare/Job/MRI-Tech-Magnetic-Resonance-Imaging-Technologist-Competitive-Comp-&-Great-Benefits/-in-Denver,CO?jid=5f040cb1ffa1522a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
Intermountain Healthcare,Magnetic Resonance Technologist,Denver,Colorado,,,Full-time,https://us.bebee.com/job/dd4251637efba6e9914a60a0347f1084?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Kaiser Permanente,MRI Technologist,Denver,Colorado,,,Full-time,https://www.kaiserpermanentejobs.org/job/denver/mri-technologist/641/76780251072?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-30T00:00:00.000Z
Kaiser Permanente,MRI Technologist - $47-59 per hour,Denver,Colorado,46.57,59.16,Full-time,https://www.vivian.com/job/9741-1324113/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-06T01:00:00.000Z
CommonSpirit Health,MRI Tech Lead,Denver,Colorado,,,Full-time,https://www.linkedin.com/jobs/view/mri-tech-lead-at-commonspirit-health-4144645695?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
Touchstone Medical Imaging,Float MRI Technologist,Denver,Colorado,45,50,Full-time,https://www.indeed.com/viewjob?jk=0de261b7eee537fa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Lead - MRI Technologist - $41-62 per hour,Denver,Colorado,41.43,62.15,Full-time,https://www.vivian.com/job/1706-260707/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-05T00:00:00.000Z
