employer_name,job_title,job_city,job_state,job_min_salary,job_max_salary,job_employment_type,job_apply_link,job_posted_at_datetime_utc
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-08T00:00:00.000Z
Vivian Health,MRI Technologist - Paying up to $39-58/hour,Aurora,Colorado,39,58,Full-time,https://www.jobserve.com/us/en/extjob/MRI-TECHNOLOGIST-PAYING-UP-TO-39-58-HOUR-in-Aurora-Colorado-USA-2C403F8D65587CEE17/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
UCHealth,Staff MRI Technologist,Aurora,Colorado,38,58,Full-time,https://www.jobserve.com/us/en/extjob/STAFF-MRI-TECHNOLOGIST-in-Aurora-Colorado-USA-E656447E232053E3B1/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
Children's Hospital Colorado,MRI Technologist PRN,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=3f811abca190d28f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-17T00:00:00.000Z
Soliant Health,"Travel MRI Tech Job - Aurora, Colorado",Aurora,Colorado,,,Contractor,https://www.soliant.com/jobs/travel-mri-tech-job-aurora-colorado/8179774/?detail_cat=5609&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-24T00:00:00.000Z
Invision Sally Jobe,MRI Technologist - PRN,Aurora,Colorado,37,52,Part-time,"https://www.ziprecruiter.com/c/Invision-Sally-Jobe/Job/MRI-Technologist-PRN/-in-Aurora,CO?jid=1ebe4660de811fae&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",
HCA Healthcare,MRI Technologist PRN - Now Hiring,Aurora,Colorado,38.41,58.87,Full-time and Part-time,https://www.snagajob.com/jobs/1008891133?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Tailored Healthcare Staffing,"Travel MRI Technologist - $2,137 per week",Aurora,Colorado,,,Full-time,https://www.tealhq.com/job/travel-mri-technologist-2-137-per-week_21914902-8c07-4aa8-bfa1-66c5b10d9aa5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
UCHealth,Imaging Professional - MRI Technologist,Aurora,Colorado,,,Full-time,https://us.bebee.com/job/44f220772156f6c40ab6394b818527ef?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-02T00:00:00.000Z
University of Colorado,"MRI Research Technologist (Diagnostic Technologist II, III)",Aurora,Colorado,,,Full-time,https://universityofcolorado.dejobs.org/aurora-co/mri-research-technologist-diagnostic-technologist-ii-iii/0ED2CED53A0B4296A45F0CE576C8DF3C/job/?utm_source=.JOBS+XML+Feed-DE&utm_medium=.JOBS+Universe&utm_campaign=.JOBS+XML+Feed&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,
Children's Hospital Colorado,MRI Technologist,Aurora,Colorado,34.78,52.17,Full-time,https://www.indeed.com/viewjob?jk=d8a613efe4922e3b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-01-08T00:00:00.000Z
Vivian Health,MRI Technologist - Paying up to $39-58/hour,Aurora,Colorado,39,58,Full-time,https://www.jobserve.com/us/en/extjob/MRI-TECHNOLOGIST-PAYING-UP-TO-39-58-HOUR-in-Aurora-Colorado-USA-2C403F8D65587CEE17/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2025-02-01T00:00:00.000Z
